Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.37978E-11,0.000000002,0.00000007,0.999802215,0,0
1.45676E-11,0.000000003,0.000000074,0.999703323,0,0
4.01641E-11,0.000000013,0.000000205,0.999406646,0,0
7.98795E-11,0.000000027,0.000000407,0.999208861,0,0
2.31124E-10,0.000000105,0.000001178,0.998714399,0,0
5.21983E-10,0.000000279,0.000002661,0.998318829,0,0
1.40214E-9,0.000001016,0.000007149,0.99752769,0,0
2.6333E-9,0.000002751,0.000013426,0.996736551,0,0
6.75602E-9,0.000010127,0.000034446,0.995154272,0,0
1.21819E-8,0.000025745,0.00006211,0.993473101,0,0
1.98672E-8,0.000051773,0.000101292,0.991989715,0,0
3.1204E-8,0.000103,0.000159087,0.990011867,0,0
6.11972E-8,0.000255778,0.000311976,0.986748418,0,0
9.3148E-8,0.000507138,0.000474819,0.983583861,0,0
1.44618E-7,0.00101309,0.000737092,0.97943038,0,0
2.72494E-7,0.002525649,0.001388396,0.972211234,0,0
4.1806E-7,0.005026486,0.002129285,0.965090981,0,0
6.16762E-7,0.010045115,0.003139734,0.95559731,0,0
1.07142E-6,0.025035273,0.005447956,0.938192247,0,0
1.64829E-6,0.05014285,0.008368911,0.919699367,0,0
2.55024E-6,0.100140927,0.012918715,0.89556962,0,0
3.8469E-6,0.200198856,0.019423001,0.864517405,0,0.03125
5.25832E-6,0.300244238,0.026454279,0.842859968,0,0.03125
6.20092E-6,0.400450377,0.031121948,0.825553797,0,0.03125
7.20614E-6,0.50028826,0.036075055,0.810719937,0,0.03125
8.0555E-6,0.600078971,0.04024041,0.797765032,0.007936508,0.03125
8.82427E-6,0.700460081,0.043995039,0.785996835,0.007936508,0.03125
9.30345E-6,0.750243651,0.046327893,0.780557753,0.007936508,0.03125
9.76291E-6,0.800912552,0.04855938,0.775316456,0.007936508,0.03125
1.06426E-5,0.900603464,0.052817222,0.765625,0.007936508,0.03125
1.12996E-5,1.000579819,0.055985049,0.756625791,0.007936508,0.03125
1.1987E-5,1.101196178,0.059287783,0.748121044,0.007936508,0.03125
1.26854E-5,1.201191697,0.06263167,0.740110759,0.007936508,0.03125
1.34105E-5,1.300660552,0.066090457,0.732594937,0.007936508,0.03125
1.40495E-5,1.400898549,0.069128362,0.725375791,0.007936508,0.0625
1.47454E-5,1.500128791,0.072425688,0.718552215,0.007936508,0.0625
1.65745E-5,1.75053552,0.081035687,0.702630538,0.015873016,0.0625
1.81606E-5,2.000973117,0.088437372,0.688390032,0.015873016,0.0625
1.97213E-5,2.250655721,0.095662564,0.675336234,0.015873016,0.0625
2.11375E-5,2.501324828,0.102169147,0.663172468,0.015873016,0.0625
2.2634E-5,2.752187874,0.108993468,0.651799842,0.023809524,0.0625
2.43799E-5,3.00159112,0.116889905,0.641317247,0.031746032,0.125
2.55045E-5,3.251321233,0.121939192,0.631428006,0.031746032,0.125
2.68394E-5,3.502334699,0.127895281,0.621934335,0.03968254,0.125
2.79785E-5,3.751685708,0.132945623,0.612935127,0.03968254,0.125
2.92182E-5,4.000894921,0.138408633,0.604331487,0.03968254,0.125
3.05287E-5,4.251659169,0.144146678,0.596024525,0.03968254,0.125
3.17424E-5,4.500706526,0.149426661,0.588113133,0.03968254,0.125
3.29507E-5,4.753187364,0.154650635,0.580399525,0.03968254,0.125
3.41246E-5,5.001070183,0.159695203,0.573081487,0.03968254,0.125
3.52234E-5,5.250655129,0.164389784,0.565961234,0.047619048,0.125
3.62887E-5,5.501376899,0.168916269,0.559038766,0.047619048,0.125
3.76644E-5,5.75304452,0.17472505,0.552314082,0.047619048,0.125
3.87782E-5,6.001364098,0.179398541,0.545886076,0.055555556,0.125
4.01278E-5,6.253300345,0.185025734,0.539556962,0.055555556,0.125
4.14268E-5,6.502162693,0.190405766,0.533524525,0.055555556,0.125
4.23111E-5,6.753577987,0.194047928,0.527590981,0.055555556,0.125
4.3586E-5,7.002147488,0.199269641,0.521855222,0.055555556,0.125
4.47555E-5,7.253953951,0.20403021,0.516218354,0.055555556,0.125
4.57227E-5,7.502769209,0.207945957,0.510779272,0.055555556,0.125
4.6673E-5,7.752195488,0.211774242,0.505439082,0.055555556,0.125
4.75061E-5,8.001827806,0.215115575,0.500197785,0.055555556,0.125
4.88022E-5,8.253005359,0.220285046,0.49505538,0.055555556,0.125
4.98853E-5,8.504535698,0.224579071,0.490011867,0.055555556,0.125
5.07582E-5,8.750919379,0.22802273,0.485166139,0.055555556,0.125
5.16796E-5,9.002005491,0.231640954,0.480320411,0.055555556,0.125
5.28253E-5,9.252646899,0.236116219,0.475573576,0.055555556,0.125
5.36927E-5,9.503299132,0.23948694,0.470925633,0.055555556,0.125
5.46772E-5,9.75277995,0.243295145,0.466376582,0.055555556,0.125
5.52646E-5,10.000121531,0.245558073,0.461926424,0.055555556,0.125
5.63607E-5,10.251334666,0.249762633,0.457476266,0.071428571,0.125
5.73816E-5,10.501485877,0.253657565,0.453125,0.071428571,0.125
5.83848E-5,10.750489411,0.257465169,0.448872627,0.071428571,0.125
5.93327E-5,11.003597473,0.261045312,0.444620253,0.071428571,0.125
6.02622E-5,11.254967629,0.26453925,0.440466772,0.079365079,0.15625
6.12791E-5,11.504314223,0.268342416,0.436412184,0.079365079,0.15625
6.22565E-5,11.751591007,0.271979649,0.432456487,0.079365079,0.15625
6.32044E-5,12.002447675,0.275489609,0.428500791,0.079365079,0.15625
6.42961E-5,12.251132848,0.279511173,0.424643987,0.079365079,0.15625
6.52676E-5,12.504066313,0.28307137,0.420787184,0.079365079,0.15625
6.64589E-5,12.754367405,0.287412604,0.417029272,0.079365079,0.15625
6.76597E-5,13.002804702,0.291762124,0.413370253,0.079365079,0.15625
6.8593E-5,13.254956059,0.295124551,0.409711234,0.079365079,0.15625
7.00284E-5,13.50494496,0.3002643,0.406151108,0.079365079,0.15625
7.12137E-5,13.752065642,0.304480347,0.402689873,0.079365079,0.15625
7.2316E-5,14.003349141,0.308378376,0.399228639,0.079365079,0.15625
7.32337E-5,14.250942071,0.311607231,0.395866297,0.087301587,0.15625
7.4021E-5,14.501377323,0.314364894,0.392503956,0.095238095,0.15625
7.50926E-5,14.755069033,0.318100869,0.389141614,0.103174603,0.15625
7.65238E-5,15.00549923,0.323058535,0.385878165,0.103174603,0.15625
7.77358E-5,15.252226068,0.32722914,0.382713608,0.103174603,0.15625
7.83614E-5,15.502136159,0.329371605,0.379549051,0.103174603,0.15625
7.96801E-5,15.755186125,0.333865429,0.376384494,0.103174603,0.15625
8.04076E-5,16.003387063,0.336331818,0.373318829,0.103174603,0.15625
8.12816E-5,16.254035306,0.339282818,0.370253165,0.111111111,0.15625
8.25005E-5,16.507991911,0.343376157,0.3671875,0.119047619,0.15625
8.36203E-5,16.756979116,0.347114527,0.364220728,0.119047619,0.15625
8.47285E-5,17.001208846,0.350792972,0.361352848,0.126984127,0.15625
8.58542E-5,17.257345982,0.354508742,0.358386076,0.126984127,0.15625
8.71312E-5,17.508267788,0.358697781,0.355518196,0.126984127,0.15625
8.81212E-5,17.75361316,0.361926705,0.352749209,0.126984127,0.15625
8.92204E-5,18.0018314,0.36549288,0.349980222,0.126984127,0.15625
9.03134E-5,18.253258046,0.369018943,0.347211234,0.126984127,0.15625
9.15922E-5,18.507954241,0.37311972,0.344442247,0.126984127,0.15625
9.22609E-5,18.756352475,0.375253325,0.341772152,0.126984127,0.15625
9.34535E-5,19.00718239,0.379040833,0.339102057,0.126984127,0.15625
9.44679E-5,19.251353766,0.382244074,0.336530854,0.126984127,0.15625
9.54365E-5,19.507839663,0.385287372,0.333860759,0.126984127,0.15625
9.68502E-5,19.75785572,0.389702539,0.331289557,0.134920635,0.15625
9.83626E-5,20.002065419,0.394390596,0.328817247,0.134920635,0.15625
9.94505E-5,20.25916772,0.397740509,0.326246044,0.134920635,0.15625
1.00702E-4,20.509496136,0.401572568,0.323773734,0.134920635,0.15625
1.0136E-4,20.752093108,0.403575898,0.321400316,0.134920635,0.15625
1.02286E-4,21.006834579,0.406383762,0.318928006,0.134920635,0.15625
1.03656E-4,21.254107072,0.41051538,0.316554589,0.134920635,0.15625
1.04668E-4,21.504259435,0.413552136,0.314181171,0.134920635,0.15625
1.05985E-4,21.757603605,0.417476727,0.311807753,0.134920635,0.15625
1.07296E-4,22.003012174,0.421355523,0.309533228,0.134920635,0.15625
1.08419E-4,22.251160401,0.424660696,0.307258703,0.142857143,0.15625
1.09293E-4,22.50144783,0.427219635,0.304984177,0.142857143,0.15625
1.1025E-4,22.753778024,0.43000536,0.302709652,0.142857143,0.15625
1.11099E-4,23.008388102,0.432468697,0.300435127,0.142857143,0.15625
1.11818E-4,23.253719962,0.43454477,0.298259494,0.142857143,0.15625
1.12416E-4,23.500503289,0.436266498,0.296083861,0.142857143,0.15625
1.13274E-4,23.760083342,0.438727969,0.293809335,0.150793651,0.15625
1.14302E-4,24.010419769,0.441661141,0.291633703,0.150793651,0.1875
1.15153E-4,24.251427083,0.444079994,0.289556962,0.150793651,0.21875
1.16653E-4,24.506421677,0.44831447,0.287381329,0.150793651,0.21875
1.17763E-4,24.752492337,0.451426569,0.285304589,0.150793651,0.21875
1.1879E-4,25.000839969,0.454292081,0.283227848,0.158730159,0.21875
1.1974E-4,25.251697813,0.456929378,0.281151108,0.158730159,0.21875
1.20616E-4,25.504033999,0.459350824,0.279074367,0.158730159,0.25
1.22121E-4,25.758951562,0.463482869,0.276997627,0.158730159,0.25
1.22712E-4,26.003739926,0.465095989,0.275019778,0.166666667,0.28125
1.23725E-4,26.250230222,0.467852683,0.27304193,0.166666667,0.28125
1.24944E-4,26.51135874,0.471149608,0.27096519,0.166666667,0.28125
1.25953E-4,26.762390448,0.473862867,0.268987342,0.166666667,0.28125
1.27105E-4,27.003086257,0.476944127,0.267108386,0.174603175,0.28125
1.27832E-4,27.257886752,0.478879833,0.265130538,0.174603175,0.28125
1.28783E-4,27.501744377,0.48139969,0.263251582,0.174603175,0.28125
1.29818E-4,27.760553134,0.48412932,0.261273734,0.174603175,0.28125
1.30384E-4,28.007815115,0.485616914,0.259394778,0.174603175,0.28125
1.31357E-4,28.256653664,0.488161505,0.257515823,0.174603175,0.28125
1.32235E-4,28.507192577,0.49044957,0.255636867,0.174603175,0.28125
1.33596E-4,28.759893852,0.493971636,0.253757911,0.182539683,0.28125
1.35267E-4,29.001906591,0.498264477,0.251977848,0.182539683,0.28125
1.36279E-4,29.259848166,0.500848083,0.250098892,0.182539683,0.3125
1.37369E-4,29.506157049,0.503614558,0.248318829,0.19047619,0.3125
1.38756E-4,29.754890267,0.507112742,0.246538766,0.19047619,0.3125
1.39999E-4,30.005698309,0.510225108,0.244758703,0.19047619,0.3125
1.40987E-4,30.258674523,0.512687054,0.242978639,0.198412698,0.3125
1.42273E-4,30.513443439,0.51587061,0.241198576,0.198412698,0.3125
1.43317E-4,30.75603275,0.518442769,0.239517405,0.198412698,0.3125
1.44243E-4,31.000510464,0.520709868,0.237836234,0.206349206,0.3125
1.45452E-4,31.261198097,0.523654806,0.236056171,0.206349206,0.3125
1.46447E-4,31.509374659,0.526066832,0.234375,0.206349206,0.34375
1.4763E-4,31.759292184,0.528915744,0.232693829,0.206349206,0.34375
1.49024E-4,32.011409624,0.532252983,0.231012658,0.206349206,0.375
1.50137E-4,32.250967875,0.534899946,0.22943038,0.206349206,0.375
1.51771E-4,32.507843335,0.538756965,0.227749209,0.214285714,0.375
1.52353E-4,32.751141632,0.540124259,0.22616693,0.222222222,0.375
1.52821E-4,33.010525161,0.541220368,0.224485759,0.23015873,0.375
1.53703E-4,33.255779833,0.543278871,0.222903481,0.23015873,0.375
1.5471E-4,33.502665874,0.545618588,0.221321203,0.23015873,0.375
1.55488E-4,33.750702208,0.547417076,0.219738924,0.23015873,0.375
1.56505E-4,34.000400233,0.549757764,0.218156646,0.23015873,0.375
1.57501E-4,34.251711995,0.552037792,0.216574367,0.238095238,0.375
1.58921E-4,34.505180349,0.555268984,0.214992089,0.238095238,0.375
1.5957E-4,34.75994566,0.5567382,0.21340981,0.246031746,0.375
1.60227E-4,35.015750888,0.55822201,0.211827532,0.246031746,0.375
1.61082E-4,35.256745947,0.560143861,0.210344146,0.246031746,0.375
1.62388E-4,35.515568549,0.563063174,0.208761867,0.246031746,0.40625
1.63738E-4,35.760327216,0.566059891,0.207278481,0.253968254,0.40625
1.64213E-4,36.006190941,0.567109977,0.205795095,0.253968254,0.40625
1.64993E-4,36.253210096,0.568826954,0.204311709,0.253968254,0.40625
1.65524E-4,36.501168965,0.569993071,0.202828323,0.253968254,0.40625
1.66333E-4,36.750182709,0.571762925,0.201344937,0.253968254,0.40625
1.67627E-4,37.000801138,0.574579993,0.199861551,0.253968254,0.40625
1.68486E-4,37.252959586,0.576439659,0.198378165,0.253968254,0.40625
1.69355E-4,37.506344217,0.578311015,0.196894778,0.261904762,0.40625
1.70346E-4,37.761291643,0.580436994,0.195411392,0.261904762,0.40625
1.71442E-4,38.000551667,0.582774407,0.194026899,0.261904762,0.40625
1.72464E-4,38.258459722,0.584942607,0.192543513,0.261904762,0.40625
1.73904E-4,38.501269003,0.587979779,0.191159019,0.26984127,0.40625
1.74562E-4,38.762790205,0.589359737,0.189675633,0.277777778,0.40625
1.75895E-4,39.008086344,0.592140702,0.188291139,0.277777778,0.40625
1.76842E-4,39.254988394,0.594105596,0.186906646,0.277777778,0.40625
1.78193E-4,39.503519935,0.596891005,0.185522152,0.285714286,0.40625
