X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
78.6,29.7,train,4.8569612164228097E-4,90.16461638618158,0.931495554207804
78.4,29.7,train,2.9522943774428455E-4,67.5764571204938,0.8039829163972153
78.4,30.1,train,3.7555473478523006E-4,80.51805041093601,0.8741819354886472
81.1,23.7,train,1.8827177324989307E-4,44.17135388383958,0.6462582334328604
79.8,24.7,train,3.021471858064023E-4,68.84241034678314,0.8113264079282468
80.5,22.4,train,4.206980003587068E-4,85.27922120776392,0.9019317770525925
76.4,26.0,train,5.408490944578495E-4,92.9080440544168,0.9494746418603737
76.6,27.2,train,2.3468165652153263E-4,54.87832337007933,0.7261987749254337
77.2,11.9,train,8.57298038820746E-6,0.5950315885033832,0.04621745085242146
76.3,11.9,train,5.598734606330068E-5,10.402934618497369,0.26584031129084873
77.0,10.3,train,3.386692752435973E-4,74.76809716352936,0.845772228502151
77.0,10.4,train,9.10266559845581E-5,19.82801631757748,0.39494280595024744
81.1,28.2,train,2.6140505554388485E-4,60.8248108700918,0.7637478997861724
79.4,20.3,train,1.003362252353497E-4,22.46746186374247,0.4252485242615306
80.7,22.3,train,2.8558892751990385E-4,65.83512711848402,0.7932699693987806
79.0,29.5,train,8.536153469198409E-4,99.17824409317699,0.9910098872836999
79.3,20.3,train,1.7760938492006515E-4,41.5805566156155,0.624814910856628
76.5,25.8,train,5.666054791866753E-4,93.99243946717993,0.9561703745344053
77.4,23.3,train,4.5946013255427953E-4,88.45369669069453,0.9208209882874513
85.8,20.4,train,1.7896734175747799E-4,41.92888563024082,0.6276165609946129
79.2,29.5,train,3.3162496536622303E-4,73.73444353167197,0.839657454056014
76.4,11.7,train,3.218516716305802E-4,72.3301425055561,0.8307702467351344
79.4,20.2,train,1.7664319247286697E-4,41.257379603629076,0.6228086993093374
78.7,20.3,train,1.3071688420523864E-4,30.18132062827687,0.5139808018239949
78.5,20.3,train,2.0667696002136824E-4,48.716904772507874,0.6804296013044207
80.4,22.3,train,1.802908462723485E-4,42.2851416331975,0.6303269984664929
79.3,21.7,train,3.3083576151895404E-4,73.66150908155429,0.8389574618863441
81.0,23.8,train,1.0146178820618718E-4,22.817226946513813,0.4288082003304172
76.6,11.6,train,5.257174561242304E-4,92.13101019433095,0.9450734849535413
79.7,29.6,train,1.677038879680905E-4,38.99108110814166,0.6037307018640717
76.8,11.8,train,7.69727407084736E-4,98.60302764181031,0.9857157905024431
78.6,29.5,train,5.167753321967302E-4,91.6466505783376,0.9422944531066828
76.3,12.2,train,1.0158447279235908E-4,22.84940222292232,0.42919486445774935
76.2,12.1,train,6.305415183344557E-5,12.313782923598483,0.29392567912994494
76.4,12.2,train,1.2734185749670702E-4,29.374450117426633,0.5048419617624478
76.3,25.8,train,2.4872207267059073E-4,57.740897613671756,0.7466163696717898
79.3,21.4,train,4.5481786623551273E-4,88.13434910277294,0.9187659257494474
79.4,21.4,train,2.692633469737297E-4,62.404712073857674,0.7737762177907287
79.4,21.5,train,3.839146165813343E-4,81.39075346261497,0.8798556923240611
79.4,21.6,train,2.909849236561582E-4,66.70731692800403,0.7993363929336484
78.9,29.5,train,4.758609833979405E-4,89.43209377264637,0.9276739157012285
