Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.82374E-5,12.501652079,0.297266853,0.433926805,0.102362205,0.064516129
6.9346E-5,12.756063013,0.301282905,0.430267062,0.102362205,0.064516129
7.03808E-5,13.000440857,0.305010866,0.426805143,0.11023622,0.064516129
7.11398E-5,13.254821579,0.307732771,0.423244313,0.11023622,0.064516129
7.21313E-5,13.505379503,0.311272354,0.419782394,0.11023622,0.064516129
7.29533E-5,13.752240908,0.31419281,0.416419387,0.118110236,0.064516129
7.36764E-5,14.001387241,0.316751749,0.41305638,0.118110236,0.064516129
7.45853E-5,14.253491778,0.319954626,0.409693373,0.125984252,0.064516129
7.54035E-5,14.500611252,0.322825178,0.406429278,0.125984252,0.064516129
7.61629E-5,14.750775228,0.325478585,0.403165183,0.125984252,0.064516129
7.70459E-5,15.003752535,0.328550855,0.399901088,0.125984252,0.064516129
7.78913E-5,15.251771056,0.331478892,0.396735905,0.125984252,0.064516129
7.87526E-5,15.502176037,0.334449261,0.393570722,0.125984252,0.064516129
7.95919E-5,15.755452087,0.337330881,0.390405539,0.133858268,0.064516129
8.06488E-5,16.004004039,0.340941927,0.387339268,0.133858268,0.064516129
8.16226E-5,16.255623174,0.344251443,0.384272997,0.133858268,0.064516129
8.24965E-5,16.501609395,0.347207487,0.381305638,0.133858268,0.064516129
8.3607E-5,16.750951609,0.350944327,0.378338279,0.133858268,0.064516129
8.45873E-5,17.003145904,0.354225385,0.37537092,0.133858268,0.096774194
8.5612E-5,17.258469621,0.357637503,0.372403561,0.133858268,0.096774194
8.64465E-5,17.507877371,0.360402726,0.369535114,0.133858268,0.096774194
8.71805E-5,17.751004066,0.362825249,0.366765579,0.133858268,0.096774194
8.83312E-5,18.005630048,0.366604699,0.363897132,0.133858268,0.096774194
8.9268E-5,18.25447128,0.36966486,0.361127596,0.133858268,0.096774194
9.02987E-5,18.505990389,0.373014716,0.358358061,0.133858268,0.161290323
9.09263E-5,18.7505993,0.375045561,0.355687438,0.133858268,0.161290323
9.16252E-5,19.006273984,0.37729966,0.352917903,0.133858268,0.161290323
9.2695E-5,19.255203965,0.380734335,0.35024728,0.141732283,0.161290323
9.35115E-5,19.50668872,0.383342839,0.347576657,0.149606299,0.161290323
9.44318E-5,19.750970142,0.38626968,0.345004946,0.149606299,0.161290323
9.57342E-5,20.007807493,0.390388081,0.342334322,0.149606299,0.161290323
9.67258E-5,20.257782034,0.393505287,0.339762611,0.157480315,0.161290323
9.74525E-5,20.50062227,0.39577962,0.337289812,0.157480315,0.193548387
9.84697E-5,20.755036899,0.398948643,0.334718101,0.157480315,0.193548387
9.94342E-5,21.002441475,0.401938406,0.332245302,0.157480315,0.193548387
1.00565E-4,21.252305797,0.405424658,0.329772502,0.165354331,0.225806452
1.01415E-4,21.504982391,0.408031844,0.327299703,0.165354331,0.225806452
1.02491E-4,21.759911303,0.41131473,0.324826904,0.165354331,0.225806452
1.03531E-4,22.007109856,0.414471633,0.322453017,0.165354331,0.225806452
1.04429E-4,22.256838599,0.417185349,0.32007913,0.165354331,0.225806452
1.05722E-4,22.509093672,0.421066088,0.317705242,0.165354331,0.225806452
1.06264E-4,22.752846856,0.422685773,0.315430267,0.173228346,0.225806452
1.07022E-4,23.008971566,0.424945531,0.31305638,0.173228346,0.225806452
1.07642E-4,23.255801245,0.42678639,0.310781405,0.173228346,0.225806452
1.08823E-4,23.504952418,0.430273249,0.308506429,0.181102362,0.225806452
1.09785E-4,23.756751922,0.433100923,0.306231454,0.188976378,0.225806452
1.10916E-4,24.010650709,0.436406074,0.303956479,0.196850394,0.225806452
1.11688E-4,24.255623911,0.438649283,0.301780415,0.196850394,0.225806452
1.12538E-4,24.502385126,0.441111194,0.299604352,0.196850394,0.225806452
1.13434E-4,24.751078916,0.443693682,0.297428289,0.196850394,0.225806452
1.1406E-4,25.001280238,0.445493173,0.295252226,0.196850394,0.225806452
1.14819E-4,25.253231849,0.447664165,0.293076162,0.196850394,0.225806452
1.16052E-4,25.507088934,0.451173202,0.290900099,0.196850394,0.225806452
1.17079E-4,25.75207342,0.454080559,0.288822948,0.196850394,0.225806452
1.17972E-4,26.010930731,0.456593264,0.286646884,0.196850394,0.225806452
1.18762E-4,26.259572486,0.458810596,0.284569733,0.204724409,0.225806452
1.19696E-4,26.509893525,0.461415215,0.282492582,0.204724409,0.225806452
1.20481E-4,26.750170294,0.463596695,0.280514342,0.204724409,0.225806452
1.21295E-4,27.004003383,0.46584927,0.278437191,0.204724409,0.225806452
1.21975E-4,27.259423923,0.467724168,0.27636004,0.204724409,0.225806452
1.22906E-4,27.504259598,0.470280003,0.2743818,0.204724409,0.225806452
1.2392E-4,27.751312046,0.473049447,0.272403561,0.204724409,0.225806452
1.24801E-4,28.000114196,0.475443844,0.270425321,0.204724409,0.225806452
