Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.26276E-10,0.000000063,0.00000323,1,0,0
6.60424E-10,0.000000129,0.000003406,0.999901127,0,0
7.81634E-10,0.00000028,0.000004031,0.999703381,0,0
2.13899E-9,0.000001124,0.00001103,0.999209017,0,0
4.07616E-9,0.000002517,0.00002102,0.998813526,0,0
8.22831E-9,0.000010001,0.000042431,0.997627052,0,0
1.52808E-8,0.000025664,0.000078797,0.996341705,0,0
2.46663E-8,0.000051124,0.000127192,0.99515523,0,0
3.93482E-8,0.000102337,0.000202891,0.993573265,0,0
6.92419E-8,0.000251687,0.000357004,0.990804825,0,0
1.13936E-7,0.000506349,0.000587376,0.988036385,0,0
1.7087E-7,0.001000947,0.000880756,0.984575835,0,0
2.8157E-7,0.002519287,0.001450951,0.977951355,0,0
4.06871E-7,0.005024588,0.00209596,0.970634764,0,0
6.38899E-7,0.010051664,0.00328927,0.961241843,0,0
1.08177E-6,0.025088411,0.005562982,0.944037967,0,0
1.69444E-6,0.050143209,0.008699841,0.926141981,0,0
2.63854E-6,0.100093638,0.013514331,0.90320348,0,0
4.08502E-6,0.200157393,0.020845415,0.87334388,0,0
5.40196E-6,0.300077186,0.027472515,0.852382836,0,0
6.55092E-6,0.400139443,0.033217677,0.835772197,0,0
7.61221E-6,0.500150979,0.03849435,0.821831125,0.007936508,0
8.5141E-6,0.600577138,0.042955806,0.809570892,0.007936508,0
9.4877E-6,0.700381083,0.04774878,0.798596006,0.007936508,0
9.84195E-6,0.750792208,0.049486781,0.793454617,0.007936508,0
1.03044E-5,0.800345175,0.051750643,0.788609848,0.007936508,0
1.10887E-5,0.900914345,0.055578419,0.7793158,0.007936508,0
1.17831E-5,1.00080069,0.058954134,0.770713862,0.007936508,0
1.26686E-5,1.10115201,0.063241267,0.762606288,0.007936508,0
1.32755E-5,1.201112357,0.066168737,0.754993079,0.007936508,0
1.37835E-5,1.301265623,0.068611892,0.747676488,0.007936508,0
1.43917E-5,1.401387878,0.071528262,0.740656516,0.007936508,0
1.4904E-5,1.501022939,0.073978107,0.733933162,0.007936508,0
1.62144E-5,1.750748938,0.08021427,0.718014633,0.007936508,0
1.77177E-5,2.000222312,0.08731732,0.703480324,0.007936508,0
1.90818E-5,2.250048481,0.093714934,0.690033617,0.007936508,0
2.03793E-5,2.500414602,0.09975891,0.677476765,0.007936508,0
2.17024E-5,2.750996075,0.105880261,0.665710896,0.007936508,0.03125
2.2963E-5,3.001144208,0.111673574,0.654637137,0.007936508,0.03125
2.41198E-5,3.250867801,0.116956937,0.644156615,0.007936508,0.03125
2.51963E-5,3.50216422,0.121845672,0.634071584,0.015873016,0.03125
2.62735E-5,3.751860683,0.126710085,0.624480918,0.015873016,0.03125
2.74495E-5,4.002150053,0.131990242,0.615285743,0.015873016,0.03125
2.82912E-5,4.252604893,0.13574967,0.606387186,0.015873016,0.03125
2.95489E-5,4.501560786,0.141336718,0.597884121,0.015873016,0.0625
3.06621E-5,4.751528797,0.146251842,0.589677675,0.015873016,0.0625
3.18537E-5,5.001718563,0.151481876,0.581767847,0.015873016,0.0625
3.32356E-5,5.252824366,0.157507097,0.574154637,0.015873016,0.0625
3.44974E-5,5.503360057,0.162971411,0.566838046,0.023809524,0.0625
3.56278E-5,5.752371223,0.167836495,0.559818074,0.031746032,0.09375
3.67185E-5,6.002064517,0.172503743,0.552995847,0.031746032,0.09375
3.82252E-5,6.252345316,0.178908246,0.546371366,0.031746032,0.09375
3.93544E-5,6.500546692,0.18367573,0.540043504,0.047619048,0.09375
4.04143E-5,6.752235057,0.188125565,0.533814515,0.055555556,0.125
4.15478E-5,7.002074102,0.192857105,0.527783271,0.055555556,0.125
4.27038E-5,7.250919764,0.197654515,0.521949773,0.055555556,0.125
4.38603E-5,7.502324787,0.202425206,0.516215147,0.055555556,0.125
4.51121E-5,7.751627145,0.207557317,0.510678268,0.055555556,0.125
4.61668E-5,8.00263913,0.211855445,0.505240261,0.055555556,0.125
4.71659E-5,8.250384039,0.215905873,0.5,0.055555556,0.125
4.80661E-5,8.503080749,0.219537331,0.494759739,0.063492063,0.125
4.9098E-5,8.750881351,0.223679436,0.489717224,0.063492063,0.125
5.00735E-5,9.003809476,0.227574717,0.484674708,0.063492063,0.125
5.08391E-5,9.251216565,0.23061829,0.479829939,0.063492063,0.15625
5.19163E-5,9.502943076,0.234880496,0.474985169,0.063492063,0.15625
5.29472E-5,9.754776088,0.23893724,0.470239272,0.063492063,0.15625
5.43166E-5,10.001168033,0.244292614,0.465691121,0.063492063,0.15625
5.51831E-5,10.253228672,0.247661992,0.46114297,0.063492063,0.15625
5.60612E-5,10.503749791,0.25106112,0.456693692,0.063492063,0.15625
5.71233E-5,10.752379495,0.255151655,0.452343287,0.063492063,0.1875
5.79104E-5,11.005568327,0.25816902,0.447992881,0.071428571,0.1875
5.89389E-5,11.251199904,0.262093132,0.443840221,0.071428571,0.1875
6.00754E-5,11.50116789,0.266404912,0.439687562,0.071428571,0.1875
6.12286E-5,11.750032684,0.270754515,0.435633775,0.071428571,0.1875
6.22493E-5,12.003487479,0.274582876,0.431579988,0.079365079,0.1875
6.33275E-5,12.254630962,0.278605281,0.427625074,0.087301587,0.1875
6.41728E-5,12.503172388,0.281743037,0.423769033,0.095238095,0.1875
6.53017E-5,12.755629604,0.285912326,0.419912992,0.103174603,0.1875
6.63067E-5,13.005846851,0.289603436,0.416155824,0.103174603,0.1875
6.74939E-5,13.25326096,0.293939373,0.412497528,0.103174603,0.1875
6.84878E-5,13.504682684,0.297548717,0.408839233,0.111111111,0.1875
6.93783E-5,13.752939733,0.300767373,0.40527981,0.111111111,0.1875
