x,y,raw,cumulative,Cloglog
77.05,36.45,1.18381E-6,0.02592237,0.00610144
77.15,36.45,9.08661E-7,0.018198822,0.004686638
83.85,24.35,1.54016E-4,35.881438752,0.548979518
72.15,12.350000000000001,1.13238E-4,24.694405472,0.443130131
92.35,9.05,1.20857E-5,1.061547063,0.060569288
95.05,21.25,7.04527E-5,13.070850335,0.305269343
77.65,36.45,4.20896E-5,6.559653076,0.195551038
96.45,11.95,1.47655E-5,1.494491387,0.07349496
81.45,9.55,2.37246E-6,0.06933469,0.012190412
69.45,18.35,2.95425E-5,4.050255744,0.141639397
68.35,17.65,3.63784E-6,0.142649416,0.018631402
84.15,17.75,4.16325E-5,6.492633069,0.193647627
73.05,13.25,1.43768E-4,32.914900835,0.524440528
80.05,36.45,1.22364E-5,1.08101996,0.061301317
94.45,15.95,3.25012E-5,4.629787505,0.154669066
81.25,11.05,1.75182E-5,1.970437562,0.08658667
72.05,21.75,1.84307E-4,43.548256403,0.614356397
87.75,10.75,2.42146E-7,0.002397959,0.001251077
86.85,23.15,1.29914E-4,29.414518542,0.48912934
87.75,13.15,9.60339E-7,0.019514951,0.00495252
78.85,16.950000000000003,1.13233E-4,24.683081702,0.443116902
93.05,8.75,1.02515E-5,0.820019572,0.051618784
83.25,11.35,2.36001E-6,0.069097443,0.012126795
95.45,20.950000000000003,2.82467E-5,3.752715465,0.135869747
81.25,16.450000000000003,7.06421E-5,13.127282974,0.305949064
81.45,8.35,1.93844E-5,2.240460483,0.095356757
76.85,36.35,2.96167E-5,4.062096564,0.141968492
94.75,13.55,4.24082E-5,6.623009016,0.196874712
74.15,10.15,3.36135E-5,4.877750586,0.159515929
92.85,12.55,3.88257E-5,5.844270583,0.181861659
91.95,17.450000000000003,9.67523E-5,20.267457267,0.39358855
77.35,36.35,8.68358E-5,17.663962887,0.361688991
96.65,9.15,1.19399E-5,1.043530721,0.059861145
76.05,17.65,4.53769E-5,7.31215825,0.209106977
77.65,36.35,6.8801E-5,12.652373888,0.299311545
95.15,19.35,1.99153E-5,2.313091323,0.097836274
79.75,12.65,3.68451E-5,5.423857176,0.173441109
69.55,18.450000000000003,1.85417E-5,2.126942538,0.091407062
78.05,36.35,2.86792E-7,0.003265628,0.001481579
79.35,22.55,1.94749E-4,46.479416732,0.634622553
85.65,22.35,1.06309E-5,0.868004781,0.053477379
82.95,21.55,2.62024E-5,3.368231713,0.126688227
80.25,36.35,2.84852E-5,3.81225929,0.136934623
87.75,20.15,1.83987E-4,43.419357668,0.61371742
80.45,36.35,2.41448E-6,0.072207871,0.012404969
79.35,16.35,1.21581E-4,27.137627651,0.466638271
96.35,8.15,4.1389E-6,0.180192778,0.021170256
76.25,14.350000000000001,4.63791E-5,7.532342114,0.213194324
85.15,23.450000000000003,1.27602E-4,28.796171597,0.482987213
80.95,36.35,3.19931E-5,4.532961987,0.15244538
85.25,15.850000000000001,8.37895E-6,0.562993229,0.042393211
94.85,14.850000000000001,1.25073E-4,28.075096825,0.476181908
94.45,17.15,4.2838E-5,6.703992662,0.19865735
77.75,19.25,3.98218E-4,78.881595081,0.872384597
90.15,11.75,7.96141E-6,0.52044839,0.040323886
79.05,18.35,1.2278E-4,27.479684376,0.469935709
85.95,17.05,8.04701E-5,15.955645282,0.340332522
94.25,8.05,1.11874E-6,0.023622944,0.005767047
80.05,19.55,9.99769E-5,21.161958415,0.403613996
69.15,18.55,2.03319E-5,2.365338698,0.099777407
84.65,8.95,1.73244E-10,0.000000123,0.000000896
87.15,15.75,1.24393E-7,0.000954719,0.000642891
91.25,20.85,7.31882E-5,13.869124997,0.315025334
81.15,15.05,2.14225E-5,2.566042556,0.104838853
73.75,21.15,1.32015E-4,29.833617997,0.4946468
77.65,9.95,5.57892E-4,89.656946235,0.944102039
91.25,8.45,2.52152E-6,0.077372639,0.012951299
68.65,18.15,1.44637E-5,1.449147222,0.072048103
95.05,24.150000000000002,9.75959E-6,0.748230165,0.049204009
80.25,36.25,1.22052E-4,27.271629082,0.467935383
69.45,13.65,8.72357E-5,17.759727633,0.363007081
79.95,16.65,6.75723E-5,12.318385112,0.294846348
82.85,14.15,2.6927E-7,0.002904666,0.001391124
80.65,36.25,3.49494E-6,0.13302131,0.017906131
80.75,36.25,8.91025E-5,18.183129754,0.369125414
79.35,9.85,6.44162E-11,0.00000002,0.000000333
86.15,17.65,1.01641E-4,21.565920886,0.408724197
94.25,8.25,1.17151E-5,1.015124628,0.058767797
79.25,18.55,1.02872E-4,21.862610641,0.412475127
84.85,21.55,3.41023E-5,4.948887473,0.161637371
81.25,8.75,2.40873E-5,2.995766588,0.117086376
85.75,9.45,3.15258E-7,0.003776595,0.001628516
74.05,9.15,1.19559E-5,1.044726311,0.059938857
75.05,21.65,4.87753E-4,85.942871316,0.919670262
95.85,13.350000000000001,3.15177E-4,69.176792429,0.803957775
88.85,12.850000000000001,7.76782E-6,0.50633188,0.039362893
71.35,21.950000000000003,2.22704E-4,52.853725977,0.68378986
77.45,36.150000000000006,1.89812E-4,45.286578255,0.625177258
93.85,23.25,1.74049E-5,1.937256347,0.086051354
91.25,21.85,1.31153E-4,29.649261191,0.492389978
96.35,12.850000000000001,2.48052E-4,57.324886973,0.722627658
80.05,16.450000000000003,3.1846E-5,4.504230477,0.15180051
77.95,36.150000000000006,1.2452E-5,1.100778897,0.062346784
80.45,22.25,2.09931E-4,50.400031193,0.662205051
75.15,11.35,5.68543E-5,9.867536431,0.254670487
68.45,10.35,1.31394E-5,1.216002247,0.065673363
79.65,22.450000000000003,2.13962E-4,51.099774696,0.669172059
80.25,36.150000000000006,5.28237E-5,8.97571537,0.238976836
80.35,36.150000000000006,7.33504E-5,13.891116085,0.315599244
94.95,12.95,4.05469E-5,6.205121561,0.189109166
83.25,9.65,5.59756E-7,0.008939408,0.002889681
93.95,21.85,2.09702E-5,2.474748152,0.102743287
78.55,14.55,3.86623E-5,5.793906175,0.18117016
80.75,24.25,1.77051E-5,1.996870449,0.08746857
88.75,10.05,6.8104E-6,0.411211622,0.034596226
81.05,36.150000000000006,1.13193E-6,0.024523531,0.005834846
76.65,36.05,3.09576E-5,4.316246112,0.147895952
85.45,23.75,1.65605E-4,38.787017129,0.575207458
76.85,36.05,2.54894E-5,3.223683814,0.123463475
89.45,21.450000000000003,7.05676E-5,13.120218769,0.305681898
82.25,20.25,1.72696E-4,40.459327307,0.590498656
77.15,36.05,3.33339E-6,0.124137596,0.017085525
71.25,21.25,1.4449E-5,1.447700852,0.071977795
77.35,36.05,8.39945E-5,16.885059256,0.352243391
87.85,22.85,2.98808E-5,4.118604874,0.14313896
92.25,15.95,4.97686E-5,8.277756947,0.226861378
74.35,23.55,9.60729E-5,20.132497546,0.391454692
81.45,23.25,1.28286E-4,28.936988243,0.484810698
77.85,36.05,2.82125E-5,3.749890792,0.135716632
77.95,36.05,1.31981E-5,1.227859213,0.065956627
82.45,11.95,1.0201E-10,0.000000053,0.000000527
78.15,36.05,2.91651E-6,0.098817423,0.014964881
88.35,17.85,6.5466E-5,11.779139627,0.287125927
90.45,13.95,1.49548E-5,1.539053533,0.074400972
73.45,22.55,1.12634E-4,24.536168628,0.441389595
83.05,22.85,2.07536E-4,49.856861928,0.657995526
75.05,8.15,9.52801E-6,0.719278067,0.048064986
81.15,18.450000000000003,1.84561E-4,43.658951384,0.614863739
76.35,19.75,2.19007E-4,51.836884243,0.67768829
84.95,24.35,1.13956E-4,24.955661198,0.445195042
95.35,17.85,5.86855E-5,10.289777834,0.261693375
69.25,13.850000000000001,1.637E-5,1.776654363,0.081148671
68.55,11.95,6.17719E-5,11.054058071,0.27338072
93.95,11.75,1.04103E-5,0.841723811,0.052397077
92.55,20.15,9.02987E-5,18.505990389,0.373014716
71.75,11.55,7.06991E-5,13.148482802,0.306153688
76.85,35.95,1.40757E-5,1.380558858,0.070185079
69.35,20.25,2.46926E-8,0.000089105,0.000127649
77.05,35.95,1.36277E-5,1.300367268,0.068028881
77.15,35.95,1.81531E-5,2.081095003,0.089579784
92.15,20.55,5.24275E-5,8.875616282,0.237416585
77.85,11.65,4.65688E-6,0.221837208,0.023787931
77.45,35.95,1.04358E-4,22.215075563,0.416971468
77.55,35.95,9.2523E-5,19.208881669,0.380183199
77.65,35.95,2.06062E-5,2.410345351,0.101052971
77.75,35.95,2.82954E-5,3.772509602,0.136087165
77.85,35.95,5.59605E-5,9.703992401,0.251218809
74.85,14.55,4.65476E-5,7.592776263,0.213879196
92.45,8.75,1.14024E-5,0.961939972,0.057244931
78.15,35.95,2.92629E-7,0.003352829,0.00151171
78.25,35.95,9.88525E-5,20.843852532,0.400136993
82.75,22.65,1.80731E-4,42.562470649,0.607161366
80.25,35.95,1.32372E-6,0.03018821,0.006820069
95.25,8.95,9.08309E-6,0.652277897,0.045872855
80.45,35.95,7.56585E-6,0.484079373,0.038359323
77.05,21.450000000000003,9.2234E-5,19.134946482,0.379256616
69.15,8.75,6.50786E-5,11.720375284,0.285696887
96.45,11.25,2.82322E-4,63.688401426,0.767662726
87.15,18.450000000000003,2.77352E-4,62.987539089,0.761616194
80.95,35.95,7.84997E-6,0.515710633,0.039770802
85.25,21.65,1.96921E-4,47.164326108,0.638703339
93.95,8.05,1.25982E-6,0.028366961,0.006491954
76.55,16.75,1.63928E-4,38.408503217,0.57150991
77.35,9.05,2.10044E-5,2.478948464,0.102901808
73.55,17.450000000000003,2.84423E-5,3.800871178,0.136743242
81.05,15.55,1.35828E-5,1.285398846,0.067812353
75.75,13.75,1.11436E-4,24.166333082,0.437917468
88.85,17.15,2.05666E-4,49.216043145,0.6546739
74.95,15.350000000000001,1.48769E-4,34.319743288,0.536576609
96.35,11.45,2.57335E-5,3.282612186,0.124568891
81.45,15.55,7.49186E-5,14.425449905,0.321125688
77.65,16.05,1.77297E-4,41.649051596,0.600123919
77.55,13.350000000000001,1.5401E-4,35.866037143,0.548965146
71.25,21.35,1.05651E-4,22.477379605,0.420853549
68.75,21.55,7.13648E-6,0.440541501,0.036222337
78.05,35.85,2.38842E-4,55.66706606,0.709101771
78.15,35.85,1.50467E-6,0.035714421,0.007748762
86.55,9.85,1.63845E-5,1.779931175,0.081217285
88.45,17.65,2.5632E-6,0.079407609,0.013163967
84.15,16.25,2.33016E-5,2.865596526,0.113492939
75.55,10.85,2.38189E-4,55.619341931,0.708117739
80.05,19.15,2.65327E-4,60.655488786,0.746325972
81.15,14.45,1.9707E-6,0.052854375,0.010136547
80.45,35.85,3.79187E-5,5.644385859,0.178016215
92.65,11.15,7.83926E-6,0.514141651,0.03971766
91.75,11.55,1.464E-5,1.47390102,0.072893741
93.15,23.05,9.48365E-6,0.712618279,0.047846649
88.45,9.45,1.04458E-6,0.021138563,0.005385775
