X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
78.6,29.7,train,6.716057684509311E-4,94.53390028255038,0.967428109271162
78.4,29.7,train,3.5838742799537465E-4,73.42525821599278,0.8391534152201982
79.1,29.6,train,4.1375023795787227E-4,79.85671130188753,0.8787113131438071
81.1,23.7,train,1.9124128530721983E-4,42.48382244495805,0.6228374013778056
79.8,24.7,train,3.156994506960599E-4,67.36005817459385,0.8000427628335608
80.5,22.4,train,3.443125775867841E-4,71.77332353420127,0.8271862826177124
76.4,26.0,train,6.772518930070921E-4,94.82511725653264,0.9683524143246369
76.6,27.2,train,2.5868916409797765E-4,56.982740078297326,0.7325905598055777
77.2,11.9,train,7.529633768740418E-6,0.5382953161206979,0.03766362136465351
76.3,11.9,train,2.3205328383442867E-5,2.8338026018553086,0.11158529723040289
77.0,10.4,train,1.4078359734330374E-4,30.20659351691846,0.5121811154896422
81.1,28.2,train,3.12501224464075E-4,66.77388345053718,0.7967553807441533
79.4,20.3,train,7.260402245413168E-5,14.081056805077859,0.30939342284336213
80.7,22.3,train,3.133659249939709E-4,66.95046165730434,0.7976494802751192
79.3,20.3,train,3.04099791882536E-4,65.01753367592201,0.787859980767833
76.5,25.8,train,5.855645479016346E-4,91.92923848251935,0.9494912460652507
75.8,25.2,train,5.678519415028195E-4,91.27861475720778,0.9447174310496922
77.4,23.3,train,2.813851854665157E-4,61.19662138912107,0.7618117980079164
85.8,20.4,train,1.9941170494844622E-4,44.3047970443993,0.6382266168666044
79.2,29.5,train,1.437503921737177E-4,30.870454702371482,0.5195046988752579
76.4,26.1,train,3.191192735473979E-4,68.00553463038554,0.8034991153489037
76.5,26.0,train,4.481551669252891E-4,83.46811018649174,0.898226100252629
76.5,26.1,train,4.3427094429908814E-4,82.13897390949285,0.890760256566746
79.2,29.4,train,3.557041043836827E-4,73.0797604548223,0.8369376830382445
76.4,11.7,train,4.5199476478083783E-4,84.07742689079411,0.9001991413086569
79.5,21.0,train,7.607833804973785E-4,96.39036022861508,0.9793283912278611
79.2,20.2,train,1.0818793224056415E-4,22.200101581034843,0.42398183539535406
76.4,11.9,train,1.3665368956059513E-4,29.344517310166925,0.5018001540833033
