Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.45425E-11,0.000000004,0.000000246,1,0,0
7.37124E-11,0.000000012,0.000000407,0.999901078,0,0
2.27491E-10,0.000000035,0.000001256,0.999802156,0,0
3.65152E-10,0.000000126,0.000002015,0.999505391,0,0
9.61391E-10,0.000000308,0.000005306,0.999307548,0,0
2.2717E-9,0.000001203,0.000012539,0.998714017,0,0
4.34613E-9,0.000002537,0.000023989,0.99831833,0,0
1.14633E-8,0.000010643,0.000063271,0.997131269,0,0
1.79831E-8,0.000026553,0.000099255,0.99604313,0,0
2.81686E-8,0.000051531,0.000155468,0.994954991,0,0
4.26882E-8,0.000102521,0.000235595,0.993570086,0,0
7.22484E-8,0.000252533,0.000398704,0.991097042,0,0
1.07475E-7,0.000509592,0.000593047,0.988426155,0,0
1.74861E-7,0.001012953,0.000964699,0.984864972,0,0
2.96443E-7,0.002515153,0.001634916,0.978435058,0,0
4.34694E-7,0.00502083,0.00239647,0.971609457,0,0
7.01231E-7,0.010013539,0.003863048,0.963102186,0,0
1.23547E-6,0.025000723,0.00679612,0.947769314,0,0
1.89107E-6,0.050090158,0.010383697,0.931743991,0,0
2.87745E-6,0.100181129,0.015756974,0.910673657,0,0
4.40556E-6,0.20030616,0.024023735,0.88376694,0,0
5.48171E-6,0.300173262,0.029803774,0.863685825,0,0
6.68027E-6,0.400257452,0.036201002,0.847363735,0,0
7.69055E-6,0.500433994,0.041560576,0.833613612,0,0
8.62651E-6,0.600770027,0.046499191,0.821446236,0.007936508,0
9.74886E-6,0.700909517,0.052387846,0.810663765,0.007936508,0
1.01276E-5,0.750571413,0.054366761,0.805717677,0.007936508,0
1.0601E-5,0.800348583,0.056834306,0.800969433,0.007936508,0
1.15157E-5,0.900812703,0.061584053,0.791967554,0.007936508,0
1.22857E-5,1.000790139,0.065564177,0.783658126,0.007936508,0
1.28879E-5,1.101225917,0.068665206,0.775744386,0.007936508,0
1.36825E-5,1.200811575,0.072740943,0.768325255,0.007936508,0
1.44366E-5,1.300636441,0.076592427,0.76130181,0.007936508,0
1.52071E-5,1.401344786,0.080511375,0.754575131,0.007936508,0
1.57899E-5,1.500461977,0.083464379,0.748244139,0.007936508,0
1.72057E-5,1.751592402,0.090598654,0.733208032,0.007936508,0
1.87414E-5,2.001409167,0.098274613,0.719457909,0.007936508,0
