variable,x,y
2m_temperature,-3.5224637389183044,0.7570679128170014
2m_temperature,-3.5168441898822786,0.7570679128170014
2m_temperature,-3.5112246408462524,0.7570679128170014
2m_temperature,-3.5056050918102266,0.7570679128170014
2m_temperature,-3.4999855427742004,0.7570679128170014
2m_temperature,-3.4943659937381746,0.7570679128170014
2m_temperature,-3.4887464447021483,0.7570679128170014
2m_temperature,-3.4831268956661225,0.7570679128170014
2m_temperature,-3.4775073466300963,0.7570679128170014
2m_temperature,-3.4718877975940705,0.7570679128170014
2m_temperature,-3.4662682485580443,0.7570679128170014
2m_temperature,-3.4606486995220185,0.7570679128170014
2m_temperature,-3.4550291504859922,0.7570679128170014
2m_temperature,-3.4494096014499664,0.7570679128170014
2m_temperature,-3.4437900524139406,0.7570679128170014
2m_temperature,-3.4381705033779144,0.7570679128170014
2m_temperature,-3.4325509543418886,0.7570679128170014
2m_temperature,-3.4269314053058624,0.7570679128170014
2m_temperature,-3.4213118562698366,0.7570679128170014
2m_temperature,-3.4156923072338103,0.7570679128170014
2m_temperature,-3.4100727581977845,0.7570679128170014
2m_temperature,-3.4044532091617583,0.7570679128170014
2m_temperature,-3.3988336601257325,0.7570679128170014
2m_temperature,-3.3932141110897063,0.7570679128170014
2m_temperature,-3.3875945620536805,0.7570679128170014
2m_temperature,-3.3819750130176542,0.7570679128170014
2m_temperature,-3.3763554639816284,0.7570679128170014
2m_temperature,-3.3707359149456027,0.7570679128170014
2m_temperature,-3.3651163659095764,0.7570679128170014
2m_temperature,-3.3594968168735506,0.7570679128170014
2m_temperature,-3.3538772678375244,0.7570679128170014
2m_temperature,-3.3482577188014986,0.7570679128170014
2m_temperature,-3.3426381697654723,0.7570679128170014
2m_temperature,-3.3370186207294465,0.7570679128170014
2m_temperature,-3.3313990716934203,0.7570679128170014
2m_temperature,-3.3257795226573945,0.7570679128170014
2m_temperature,-3.3201599736213683,0.7570679128170014
2m_temperature,-3.3145404245853425,0.7570679128170014
2m_temperature,-3.3089208755493162,0.7570679128170014
2m_temperature,-3.3033013265132904,0.7570679128170014
2m_temperature,-3.297681777477264,0.7570679128170014
2m_temperature,-3.2920622284412384,0.7570679128170014
2m_temperature,-3.286442679405212,0.7570679128170014
2m_temperature,-3.2808231303691864,0.7570679128170014
2m_temperature,-3.2752035813331606,0.7570679128170014
2m_temperature,-3.2695840322971343,0.7570679128170014
2m_temperature,-3.2639644832611086,0.7570679128170014
2m_temperature,-3.2583449342250823,0.7570679128170014
2m_temperature,-3.2527253851890565,0.7570679128170014
2m_temperature,-3.2471058361530303,0.7570679128170014
2m_temperature,-3.2414862871170045,0.7570679128170014
2m_temperature,-3.2358667380809782,0.7570679128170014
2m_temperature,-3.2302471890449524,0.7570679128170014
2m_temperature,-3.224627640008926,0.7570679128170014
2m_temperature,-3.2190080909729004,0.7570679128170014
2m_temperature,-3.213388541936874,0.7570679128170014
2m_temperature,-3.2077689929008484,0.7570679128170014
2m_temperature,-3.2021494438648226,0.7570679128170014
2m_temperature,-3.1965298948287963,0.7570679128170014
2m_temperature,-3.1909103457927706,0.7570679128170014
2m_temperature,-3.1852907967567443,0.7570679128170014
2m_temperature,-3.1796712477207185,0.7570679128170014
2m_temperature,-3.1740516986846923,0.7570679128170014
2m_temperature,-3.1684321496486665,0.7570679128170014
2m_temperature,-3.1628126006126402,0.7570679128170014
2m_temperature,-3.1571930515766145,0.7570679128170014
2m_temperature,-3.151573502540588,0.7570679128170014
2m_temperature,-3.1459539535045624,0.7570679128170014
2m_temperature,-3.140334404468536,0.7570679128170014
2m_temperature,-3.1347148554325104,0.7570679128170014
2m_temperature,-3.1290953063964846,0.7570679128170014
2m_temperature,-3.1234757573604583,0.7570679128170014
2m_temperature,-3.1178562083244326,0.7570679128170014
2m_temperature,-3.1122366592884063,0.7570679128170014
2m_temperature,-3.1066171102523805,0.7570679128170014
2m_temperature,-3.1009975612163543,0.7570679128170014
2m_temperature,-3.0953780121803285,0.7570679128170014
2m_temperature,-3.0897584631443022,0.7570679128170014
2m_temperature,-3.0841389141082765,0.7570679128170014
2m_temperature,-3.07851936507225,0.7570679128170014
2m_temperature,-3.0728998160362244,0.7570679128170014
2m_temperature,-3.067280267000198,0.7570679128170014
2m_temperature,-3.0616607179641724,0.7570679128170014
2m_temperature,-3.0560411689281466,0.7564499884843826
2m_temperature,-3.0504216198921204,0.755832064151764
2m_temperature,-3.044802070856094,0.7539724677801132
2m_temperature,-3.0391825218200683,0.7521128714084625
2m_temperature,-3.0335629727840425,0.7502442836761475
2m_temperature,-3.0279434237480163,0.7483756959438324
2m_temperature,-3.0223238747119905,0.746497517824173
2m_temperature,-3.0167043256759642,0.7446193397045135
2m_temperature,-3.0110847766399385,0.7427309393882752
2m_temperature,-3.005465227603912,0.7408425390720368
2m_temperature,-2.9998456785678864,0.7389432817697525
2m_temperature,-2.99422612953186,0.7370440244674683
2m_temperature,-2.9886065804958344,0.7351331204175949
2m_temperature,-2.9829870314598086,0.7332222163677216
2m_temperature,-2.9773674824237824,0.7312989920377732
2m_temperature,-2.971747933387756,0.7293757677078248
2m_temperature,-2.9661283843517303,0.7274393498897552
2m_temperature,-2.9605088353157045,0.7255029320716858
2m_temperature,-2.9548892862796783,0.7235524326562881
2m_temperature,-2.9492697372436525,0.7216019332408905
2m_temperature,-2.9436501882076263,0.7196364253759384
2m_temperature,-2.9380306391716005,0.7176709175109863
2m_temperature,-2.932411090135574,0.7156893908977509
2m_temperature,-2.9267915410995484,0.7137078642845154
2m_temperature,-2.921171992063522,0.7117093563079834
