variable,x,y
total_precipitation,-1.6299776434898376,0.07432839795947074
total_precipitation,-1.6183933923244476,0.07432839795947074
total_precipitation,-1.6068091411590577,0.07432839795947074
total_precipitation,-1.5952248899936676,0.07432839795947074
total_precipitation,-1.5836406388282775,0.07432839795947074
total_precipitation,-1.5720563876628875,0.07432839795947074
total_precipitation,-1.5604721364974976,0.07432839795947074
total_precipitation,-1.5488878853321075,0.07432839795947074
total_precipitation,-1.5373036341667174,0.07432839795947074
total_precipitation,-1.5257193830013276,0.07432839795947074
total_precipitation,-1.5141351318359375,0.07432839795947074
total_precipitation,-1.5025508806705474,0.07432839795947074
total_precipitation,-1.4909666295051576,0.07432839795947074
total_precipitation,-1.4793823783397675,0.07432839795947074
total_precipitation,-1.4677981271743774,0.07432839795947074
total_precipitation,-1.4562138760089876,0.07432839795947074
total_precipitation,-1.4446296248435975,0.07432839795947074
total_precipitation,-1.4330453736782074,0.07432839795947074
total_precipitation,-1.4214611225128173,0.07432839795947074
total_precipitation,-1.4098768713474275,0.07432839795947074
total_precipitation,-1.3982926201820374,0.07432839795947074
total_precipitation,-1.3867083690166473,0.07432839795947074
total_precipitation,-1.3751241178512572,0.07432839795947074
total_precipitation,-1.3635398666858674,0.07432839795947074
total_precipitation,-1.3519556155204773,0.07432839795947074
total_precipitation,-1.3403713643550872,0.07432839795947074
total_precipitation,-1.3287871131896973,0.07432839795947074
total_precipitation,-1.3172028620243073,0.07432839795947074
total_precipitation,-1.3056186108589172,0.07432839795947074
total_precipitation,-1.2940343596935273,0.07432839795947074
total_precipitation,-1.2824501085281372,0.07432839795947074
total_precipitation,-1.2708658573627472,0.07432839795947074
total_precipitation,-1.2592816061973573,0.07432839795947074
total_precipitation,-1.2476973550319672,0.07432839795947074
total_precipitation,-1.2361131038665771,0.07432839795947074
total_precipitation,-1.224528852701187,0.07432839795947074
total_precipitation,-1.2129446015357972,0.07432839795947074
total_precipitation,-1.2013603503704071,0.07432839795947074
total_precipitation,-1.189776099205017,0.07432839795947074
total_precipitation,-1.178191848039627,0.07432839795947074
total_precipitation,-1.166607596874237,0.07432839795947074
total_precipitation,-1.155023345708847,0.07432839795947074
total_precipitation,-1.143439094543457,0.07432839795947074
total_precipitation,-1.131854843378067,0.07432839795947074
total_precipitation,-1.120270592212677,0.07432839795947074
total_precipitation,-1.108686341047287,0.07432839795947074
total_precipitation,-1.097102089881897,0.07432839795947074
total_precipitation,-1.085517838716507,0.07432839795947074
total_precipitation,-1.073933587551117,0.07432839795947074
total_precipitation,-1.062349336385727,0.07432839795947074
total_precipitation,-1.050765085220337,0.07432839795947074
total_precipitation,-1.0391808340549469,0.07432839795947074
total_precipitation,-1.027596582889557,0.07432839795947074
total_precipitation,-1.0160123317241667,0.07432839795947074
total_precipitation,-1.0044280805587769,0.07432839795947074
total_precipitation,-0.9928438293933869,0.07432839795947074
total_precipitation,-0.9812595782279968,0.07432839795947074
total_precipitation,-0.9696753270626068,0.07432839795947074
total_precipitation,-0.9580910758972168,0.07432839795947074
total_precipitation,-0.9465068247318268,0.07432839795947074
total_precipitation,-0.9349225735664368,0.07432839795947074
total_precipitation,-0.9233383224010467,0.07432839795947074
total_precipitation,-0.9117540712356568,0.07432839795947074
total_precipitation,-0.9001698200702667,0.07432839795947074
total_precipitation,-0.8885855689048767,0.07432839795947074
total_precipitation,-0.8770013177394866,0.07432839795947074
total_precipitation,-0.8654170665740967,0.07432839795947074
total_precipitation,-0.8538328154087067,0.07432839795947074
total_precipitation,-0.8422485642433166,0.07432839795947074
total_precipitation,-0.8306643130779267,0.07432839795947074
total_precipitation,-0.8190800619125366,0.07432839795947074
total_precipitation,-0.8074958107471466,0.07432839795947074
total_precipitation,-0.7959115595817566,0.07432839795947074
total_precipitation,-0.7843273084163666,0.07432839795947074
total_precipitation,-0.7727430572509766,0.07432839795947074
total_precipitation,-0.7611588060855865,0.07432839795947074
total_precipitation,-0.7495745549201965,0.07432839795947074
total_precipitation,-0.7379903037548066,0.07432839795947074
total_precipitation,-0.7264060525894165,0.07432839795947074
total_precipitation,-0.7148218014240265,0.07432839795947074
total_precipitation,-0.7032375502586364,0.07432839795947074
total_precipitation,-0.6916532990932465,0.07432839795947074
total_precipitation,-0.6800690479278565,0.07432839795947074
total_precipitation,-0.6684847967624664,0.28063047789037326
total_precipitation,-0.6569005455970764,0.4869325578212738
total_precipitation,-0.6453162944316864,0.5266901284456255
total_precipitation,-0.6337320432662964,0.5664476990699768
total_precipitation,-0.6221477921009064,0.5706956028938294
total_precipitation,-0.6105635409355163,0.5749435067176819
total_precipitation,-0.5989792897701263,0.5791914403438568
total_precipitation,-0.5873950386047364,0.5834393739700318
total_precipitation,-0.5758107874393463,0.5848240315914154
total_precipitation,-0.5642265362739562,0.5862086892127991
total_precipitation,-0.5526422851085664,0.5869892239570618
total_precipitation,-0.5410580339431763,0.5877697587013244
total_precipitation,-0.5294737827777862,0.5885454654693604
total_precipitation,-0.5178895316123961,0.5893211722373962
total_precipitation,-0.5063052804470063,0.5900919497013092
total_precipitation,-0.4947210292816162,0.5908627271652221
total_precipitation,-0.48313677811622613,0.5916285216808319
total_precipitation,-0.47155252695083627,0.5923943161964417
total_precipitation,-0.4599682757854462,0.5931550025939941
total_precipitation,-0.4483840246200561,0.5939156889915467
total_precipitation,-0.43679977345466603,0.5946712136268616
total_precipitation,-0.42521552228927617,0.5954267382621765
total_precipitation,-0.4136312711238861,0.5961769998073578
total_precipitation,-0.402047019958496,0.596927261352539
total_precipitation,-0.39046276879310615,0.5976721763610839
